""	"X"	"PERSON_ID"	"FIRST_NAME"	"LAST_NAME"	"DISPLAY_FIRST_LAST"	"DISPLAY_LAST_COMMA_FIRST"	"DISPLAY_FI_LAST"	"BIRTHDATE"	"SCHOOL"	"COUNTRY"	"LAST_AFFILIATION"	"HEIGHT"	"WEIGHT"	"SEASON_EXP"	"JERSEY"	"POSITION"	"ROSTERSTATUS"	"TEAM_ID"	"TEAM_NAME"	"TEAM_ABBREVIATION"	"TEAM_CODE"	"TEAM_CITY"	"PLAYERCODE"	"FROM_YEAR"	"TO_YEAR"	"DLEAGUE_FLAG"
"19"	0	35	"Eric"	"Riley"	"Eric Riley"	"Riley, Eric"	"E. Riley"	"1970-06-02T00:00:00"	"Michigan"	"US"	"Michigan/US"	"7-0"	245	3	"44"	"Center"	"Active"	1610612738	"Celtics"	"BOS"	"celtics"	"Boston"	"HISTADD_eric_riley"	1993	1998	"N"
"20"	0	36	"Sarunas"	"Marciulionis"	"Sarunas Marciulionis"	"Marciulionis, Sarunas"	"S. Marciulionis"	"1964-06-13T00:00:00"	"Lithuania"	"US"	"Vilnius (Lithuania)/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_sarunas_marciulionis"	1989	1996	"N"
"21"	0	37	"Greg"	"Graham"	"Greg Graham"	"Graham, Greg"	"G. Graham"	"1970-11-26T00:00:00"	"Indiana"	"US"	"Indiana/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_greg_graham"	1993	1997	"N"
"22"	0	38	"Brad"	"Lohaus"	"Brad Lohaus"	"Lohaus, Brad"	"B. Lohaus"	"1964-09-29T00:00:00"	"Iowa"	"US"	"Iowa/US"	"6-11"	230	8	"54"	"Forward-Center"	"Active"	1610612759	"Spurs"	"SAS"	"spurs"	"San Antonio"	"HISTADD_brad_lohaus"	1987	1997	"N"
"23"	0	41	"Anthony"	"Bonner"	"Anthony Bonner"	"Bonner, Anthony"	"A. Bonner"	"1968-06-08T00:00:00"	"St. Louis"	"US"	"St. Louis ''90/US"	"6-8"	230	6	"33"	"Forward"	"Active"	1610612762	"Jazz"	"UTA"	"jazz"	"Utah"	"HISTADD_anthony_bonner"	1990	2002	"N"
"24"	0	42	"Monty"	"Williams"	"Monty Williams"	"Williams, Monty"	"M. Williams"	"1971-10-08T00:00:00"	"Notre Dame"	"US"	"Notre Dame ''94/US"	"6-8"	225	8	"5"	"Forward"	"Active"	1610612755	"76ers"	"PHI"	"sixers"	"Philadelphia"	"monty_williams"	1994	2002	"N"
"25"	0	43	"Chris"	"Whitney"	"Chris Whitney"	"Whitney, Chris"	"C. Whitney"	"1971-10-05T00:00:00"	"Clemson"	"US"	"Clemson ''93/US"	"6-0"	175	10	"12"	"Guard"	"Active"	1610612764	"Wizards"	"WAS"	"wizards"	"Washington"	"chris_whitney"	1993	2003	"N"
"26"	0	45	"George"	"McCloud"	"George McCloud"	"McCloud, George"	"G. McCloud"	"1967-05-27T00:00:00"	"Florida State"	"US"	"Florida State ''89/US"	"6-8"	230	12	"21"	"Forward"	"Active"	1610612743	"Nuggets"	"DEN"	"nuggets"	"Denver"	"george_mccloud"	1989	2002	"N"
"27"	0	46	"Mike"	"Peplowski"	"Mike Peplowski"	"Peplowski, Mike"	"M. Peplowski"	"1970-10-15T00:00:00"	"Michigan State"	"US"	"Michigan State/US"	"6-10"	270	2	"54"	"Center"	"Active"	1610612749	"Bucks"	"MIL"	"bucks"	"Milwaukee"	"HISTADD_mike_peplowski"	1993	1995	"N"
"28"	0	47	"Wayman"	"Tisdale"	"Wayman Tisdale"	"Tisdale, Wayman"	"W. Tisdale"	"1964-06-09T00:00:00"	"Oklahoma"	"US"	"Oklahoma/US"	"6-9"	260	11	"23"	"Forward"	"Active"	1610612756	"Suns"	"PHX"	"suns"	"Phoenix"	"HISTADD_wayman_tisdale"	1985	1996	"N"
"29"	0	49	"Gheorghe"	"Muresan"	"Gheorghe Muresan"	"Muresan, Gheorghe"	"G. Muresan"	"1971-02-14T00:00:00"	"Romania"	"US"	"Cluj (Romania)/US"	"7-7"	303	6	"77"	"Center"	"Active"	1610612751	"Nets"	"NJN"	"nets"	"New Jersey"	"HISTADD_gheorghe_muresan"	1993	1999	"N"
"30"	0	51	"Mahmoud"	"Abdul-Rauf"	"Mahmoud Abdul-Rauf"	"Abdul-Rauf, Mahmoud"	"M. Abdul-Rauf"	"1969-03-09T00:00:00"	"Louisiana State"	"US"	"Louisiana State/US"	"6-1"	162	8	"1"	"Guard"	"Active"	1610612763	"Grizzlies"	"VAN"	"grizzlies"	"Vancouver"	"HISTADD_mahmoud_abdul-rauf"	1990	2000	"N"
"31"	0	52	"Micheal"	"Williams"	"Micheal Williams"	"Williams, Micheal"	"M. Williams"	"1966-07-23T00:00:00"	"Baylor"	"US"	"Baylor/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_micheal_williams"	1988	1998	"N"
"32"	0	53	"Mario"	"Elie"	"Mario Elie"	"Elie, Mario"	"M. Elie"	"1963-11-26T00:00:00"	"American Int'l."	"US"	"American International/US"	"6-5"	225	10	"17"	"Guard-Forward"	"Active"	1610612756	"Suns"	"PHX"	"suns"	"Phoenix"	"HISTADD_mario_elie"	1990	2000	"N"
"33"	0	54	"Dickey"	"Simpkins"	"Dickey Simpkins"	"Simpkins, Dickey"	"D. Simpkins"	"1972-04-06T00:00:00"	"Providence"	"US"	"Providence/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_dickey_simpkins"	1994	2001	"N"
"34"	0	55	"Marty"	"Conlon"	"Marty Conlon"	"Conlon, Marty"	"M. Conlon"	"1968-01-19T00:00:00"	"Providence"	"US"	"Providence/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_marty_conlon"	1991	1999	"N"
"35"	0	56	"Gary"	"Payton"	"Gary Payton"	"Payton, Gary"	"G. Payton"	"1968-07-23T00:00:00"	"Oregon State"	"US"	"Oregon State/US"	"6-4"	190	16	"20"	"Guard"	"Active"	1610612748	"Heat"	"MIA"	"heat"	"Miami"	"gary_payton"	1990	2006	"N"
"36"	0	57	"Doug"	"Christie"	"Doug Christie"	"Christie, Doug"	"D. Christie"	"1970-05-09T00:00:00"	"Pepperdine"	"US"	"Pepperdine/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"doug_christie"	1992	2006	"N"
"37"	0	61	"Carl"	"Herrera"	"Carl Herrera"	"Herrera, Carl"	"C. Herrera"	"1966-12-14T00:00:00"	"Houston"	"US"	"Jacksonville College; Houston/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"carl_herrera"	1991	2008	"N"
"38"	0	63	"Michael"	"Smith"	"Michael Smith"	"Smith, Michael"	"M. Smith"	"1972-03-28T00:00:00"	"Providence"	"US"	"Providence/US"	"6-8"	240	6	"34"	"Forward"	"Active"	1610612764	"Wizards"	"WAS"	"wizards"	"Washington"	"michael_smith"	1994	2000	"N"
"39"	0	64	"Sam"	"Perkins"	"Sam Perkins"	"Perkins, Sam"	"S. Perkins"	"1961-06-14T00:00:00"	"North Carolina"	"US"	"North Carolina/US"	"6-9"	260	16	"14"	"Center-Forward"	"Active"	1610612754	"Pacers"	"IND"	"pacers"	"Indiana"	"HISTADD_sam_perkins"	1984	2000	"N"
"40"	0	65	"Greg"	"Minor"	"Greg Minor"	"Minor, Greg"	"G. Minor"	"1971-09-08T00:00:00"	"Louisville"	"US"	"Louisville/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_greg_minor"	1994	1998	"N"
"41"	0	66	"Marques"	"Bragg"	"Marques Bragg"	"Bragg, Marques"	"M. Bragg"	"1970-03-24T00:00:00"	""	"US"	"Providence/US"	"6-8"	230	0	"33"	"Forward"	"Active"	1610612750	"Timberwolves"	"MIN"	"timberwolves"	"Minnesota"	"HISTADD_marques_bragg"	1995	1995	"N"
"42"	0	67	"Tom"	"Hammonds"	"Tom Hammonds"	"Hammonds, Tom"	"T. Hammonds"	"1967-03-27T00:00:00"	"Georgia Tech"	"US"	"Georgia Tech/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_tom_hammonds"	1989	2000	"N"
"43"	0	70	"Steve"	"Kerr"	"Steve Kerr"	"Kerr, Steve"	"S. Kerr"	"1965-09-27T00:00:00"	"Arizona"	"US"	"Arizona ''88/US"	"6-1"	180	14	"25"	"Guard"	"Active"	1610612759	"Spurs"	"SAS"	"spurs"	"San Antonio"	"steve_kerr"	1988	2002	"N"
"44"	0	71	"Pooh"	"Richardson"	"Pooh Richardson"	"Richardson, Pooh"	"P. Richardson"	"1966-05-14T00:00:00"	"UCLA"	"US"	"UCLA/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_pooh_richardson"	1989	1998	"N"
"45"	0	72	"Kenny"	"Anderson"	"Kenny Anderson"	"Anderson, Kenny"	"K. Anderson"	"1970-10-09T00:00:00"	"Georgia Tech"	"US"	"Georgia Tech '93/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"kenny_anderson"	1991	2004	"N"
"46"	0	73	"Hot Rod"	"Williams"	"Hot Rod Williams"	"Williams, Hot Rod"	"H. Williams"	"1962-08-09T00:00:00"	"Tulane"	"US"	"Tulane/US"	"6-11"	245	12	"18"	"Center"	"Active"	1610612742	"Mavericks"	"DAL"	"mavericks"	"Dallas"	"HISTADD_john_williams"	1986	1998	"N"
"47"	0	74	"Derrick"	"Phelps"	"Derrick Phelps"	"Phelps, Derrick"	"D. Phelps"	"1972-07-31T00:00:00"	"North Carolina"	"US"	"North Carolina/US"	"6-4"	181	0	"5"	"Forward"	"Active"	1610612758	"Kings"	"SAC"	"kings"	"Sacramento"	"HISTADD_derrick_phelps"	1994	1994	"N"
"48"	0	76	"Cedric"	"Ceballos"	"Cedric Ceballos"	"Ceballos, Cedric"	"C. Ceballos"	"1969-08-02T00:00:00"	"Cal State-Fullerton"	"US"	"Ventura Coll. CA (J.C.); Cal State-Fullerton/US"	"6-7"	220	10	"23"	"Forward"	"Active"	1610612748	"Heat"	"MIA"	"heat"	"Miami"	"HISTADD_cedric_ceballos"	1990	2000	"N"
"49"	0	77	"Doug"	"Overton"	"Doug Overton"	"Overton, Doug"	"D. Overton"	"1969-08-03T00:00:00"	"La Salle"	"US"	"La Salle ''91/US"	"6-3"	190	10	"24"	"Guard"	"Active"	1610612746	"Clippers"	"LAC"	"clippers"	"Los Angeles"	"doug_overton"	1992	2003	"N"
"50"	0	78	"LaSalle"	"Thompson"	"LaSalle Thompson"	"Thompson, LaSalle"	"L. Thompson"	"1961-06-23T00:00:00"	"Texas"	"US"	"Texas/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_lasalle_thompson"	1982	1996	"N"
"51"	0	80	"Ken"	"Norman"	"Ken Norman"	"Norman, Ken"	"K. Norman"	"1964-09-05T00:00:00"	"Illinois"	"US"	"Wabash Valley Coll. IL (J.C.); Illinois/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_ken_norman"	1987	1996	"N"
"52"	0	81	"Jeff"	"Grayer"	"Jeff Grayer"	"Grayer, Jeff"	"J. Grayer"	"1965-12-17T00:00:00"	"Iowa State"	"US"	"Iowa State/US"	"6-5"	210	8	"20"	"Guard"	"Active"	1610612744	"Warriors"	"GSW"	"warriors"	"Golden State"	"HISTADD_jeff_grayer"	1988	1997	"N"
"53"	0	82	"Bill"	"Wennington"	"Bill Wennington"	"Wennington, Bill"	"B. Wennington"	"1963-04-26T00:00:00"	"St. John's, N.Y."	"US"	"St. John's (N.Y.)/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_bill_wennington"	1985	1999	"N"
"54"	0	84	"Latrell"	"Sprewell"	"Latrell Sprewell"	"Sprewell, Latrell"	"L. Sprewell"	"1970-09-08T00:00:00"	"Alabama"	"US"	"Alabama/US"	"6-5"	195	12	"8"	"Guard"	"Active"	1610612750	"Timberwolves"	"MIN"	"timberwolves"	"Minnesota"	"latrell_sprewell"	1992	2004	"N"
"55"	0	85	"Brent"	"Price"	"Brent Price"	"Price, Brent"	"B. Price"	"1968-12-09T00:00:00"	"Oklahoma"	"US"	"Oklahoma ''92/US"	"6-1"	185	9	"25"	"Guard"	"Active"	1610612758	"Kings"	"SAC"	"kings"	"Sacramento"	"brent_price"	1992	2002	"N"
"56"	0	87	"Dikembe"	"Mutombo"	"Dikembe Mutombo"	"Mutombo, Dikembe"	"D. Mutombo"	"1966-06-25T00:00:00"	"Georgetown"	"Congo"	"Georgetown/Congo"	"7-2"	260	17	"55"	"Center"	"Active"	1610612745	"Rockets"	"HOU"	"rockets"	"Houston"	"dikembe_mutombo"	1991	2008	"N"
"57"	0	88	"Steve"	"Scheffler"	"Steve Scheffler"	"Scheffler, Steve"	"S. Scheffler"	"1967-09-03T00:00:00"	"Purdue"	"US"	"Purdue/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_steve_scheffler"	1990	1996	"N"
"58"	0	89	"Nick"	"Van Exel"	"Nick Van Exel"	"Van Exel, Nick"	"N. Van Exel"	"1971-11-27T00:00:00"	"Cincinnati"	"US"	"Cincinnati/US"	"6-1"	190	12	"31"	"Guard"	"Active"	1610612759	"Spurs"	"SAS"	"spurs"	"San Antonio"	"nick_van_exel"	1993	2005	"N"
"59"	0	93	"Hubert"	"Davis"	"Hubert Davis"	"Davis, Hubert"	"H. Davis"	"1970-05-17T00:00:00"	"North Carolina"	"US"	"North Carolina ''92/US"	"6-5"	183	11	"44"	"Guard"	"Active"	1610612751	"Nets"	"NJN"	"nets"	"New Jersey"	"hubert_davis"	1992	2003	"N"
"60"	0	95	"Mark"	"Bryant"	"Mark Bryant"	"Bryant, Mark"	"M. Bryant"	"1965-04-25T00:00:00"	"Seton Hall"	"US"	"Seton Hall ''88/US"	"6-9"	250	14	"9"	"Forward"	"Active"	1610612755	"76ers"	"PHI"	"sixers"	"Philadelphia"	"mark_bryant"	1988	2002	"N"
"61"	0	96	"Detlef"	"Schrempf"	"Detlef Schrempf"	"Schrempf, Detlef"	"D. Schrempf"	"1963-01-21T00:00:00"	"Washington"	"US"	"Washington/US"	"6-10"	235	15	"12"	"Forward"	"Active"	1610612757	"Trail Blazers"	"POR"	"blazers"	"Portland"	"HISTADD_detlef_schrempf"	1985	2000	"N"
"62"	0	97	"Ronnie"	"Grandison"	"Ronnie Grandison"	"Grandison, Ronnie"	"R. Grandison"	"1964-07-09T00:00:00"	"New Orleans"	"US"	"California-Irvine; Tulane; New Orleans/US"	"6-6"	220	3	"20"	"Forward"	"Active"	1610612752	"Knicks"	"NYK"	"knicks"	"New York"	"HISTADD_ronnie_grandison"	1988	1995	"N"
"63"	0	98	"Nick"	"Anderson"	"Nick Anderson"	"Anderson, Nick"	"N. Anderson"	"1968-01-20T00:00:00"	"Illinois"	"US"	"Illinois ''90/US"	"6-6"	228	13	"5"	"Forward-Guard"	"Active"	1610612739	"Cavaliers"	"CLE"	"cavaliers"	"Cleveland"	"HISTADD_nick_anderson"	1989	2002	"N"
"64"	0	100	"Tim"	"Legler"	"Tim Legler"	"Legler, Tim"	"T. Legler"	"1966-12-26T00:00:00"	"La Salle"	"US"	"La Salle/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_tim_legler"	1989	1999	"N"
"65"	0	101	"Scott"	"Skiles"	"Scott Skiles"	"Skiles, Scott"	"S. Skiles"	"1964-03-05T00:00:00"	"Michigan State"	"US"	"Michigan State/US"	"6-1"	180	9	"5"	"Guard"	"Active"	1610612755	"76ers"	"PHL"	"sixers"	"Philadelphia"	"HISTADD_scott_skiles"	1986	1995	"N"
"66"	0	103	"Todd"	"Day"	"Todd Day"	"Day, Todd"	"T. Day"	"1970-01-07T00:00:00"	"Arkansas"	"US"	"Arkansas/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"todd_day"	1992	2000	"N"
"67"	0	104	"Benoit"	"Benjamin"	"Benoit Benjamin"	"Benjamin, Benoit"	"B. Benjamin"	"1964-11-22T00:00:00"	"Creighton"	"US"	"Creighton/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_benoit_benjamin"	1985	1999	"N"
"68"	0	105	"Dan"	"Majerle"	"Dan Majerle"	"Majerle, Dan"	"D. Majerle"	"1965-09-09T00:00:00"	"Central Michigan"	"US"	"Central Michigan/US"	"6-6"	222	13	"9"	"Guard-Forward"	"Active"	1610612756	"Suns"	"PHX"	"suns"	"Phoenix"	"dan_majerle"	1988	2001	"N"
"69"	0	107	"Dale"	"Ellis"	"Dale Ellis"	"Ellis, Dale"	"D. Ellis"	"1960-08-06T00:00:00"	"Tennessee"	"US"	"Tennessee/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_dale_ellis"	1983	1999	"N"
"70"	0	109	"Robert"	"Horry"	"Robert Horry"	"Horry, Robert"	"R. Horry"	"1970-08-25T00:00:00"	"Alabama"	"US"	"Alabama/US"	"6-10"	240	15	"25"	"Forward-Center"	"Active"	1610612759	"Spurs"	"SAS"	"spurs"	"San Antonio"	"robert_horry"	1992	2007	"N"
"71"	0	111	"LaPhonso"	"Ellis"	"LaPhonso Ellis"	"Ellis, LaPhonso"	"L. Ellis"	"1970-05-05T00:00:00"	"Notre Dame"	"US"	"Notre Dame ''92/US"	"6-8"	240	10	"3"	"Forward"	"Active"	1610612748	"Heat"	"MIA"	"heat"	"Miami"	"laphonso_ellis"	1992	2002	"N"
"72"	0	112	"Dontonio"	"Wingfield"	"Dontonio Wingfield"	"Wingfield, Dontonio"	"D. Wingfield"	"1974-06-23T00:00:00"	"Cincinnati"	"US"	"Cincinnati/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_dontonio_wingfield"	1994	1997	"N"
"73"	0	114	"Harold"	"Miner"	"Harold Miner"	"Miner, Harold"	"H. Miner"	"1971-05-05T00:00:00"	"USC"	"US"	"USC/US"	"6-5"	210	3	"4"	"Guard"	"Active"	1610612739	"Cavaliers"	"CLE"	"cavaliers"	"Cleveland"	"HISTADD_harold_miner"	1992	1995	"N"
"74"	0	116	"David"	"Wood"	"David Wood"	"Wood, David"	"D. Wood"	"1964-11-30T00:00:00"	"Nevada-Reno"	"US"	"Nevada-Reno/US"	"6-9"	230	6	"7"	"Forward"	"Active"	1610612749	"Bucks"	"MIL"	"bucks"	"Milwaukee"	"HISTADD_david_wood"	1988	1996	"N"
"75"	0	117	"Jeff"	"Malone"	"Jeff Malone"	"Malone, Jeff"	"J. Malone"	"1961-06-28T00:00:00"	"Mississippi State"	"US"	"Mississippi State/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_jeff_malone"	1983	1995	"N"
"76"	0	120	"Steven"	"Smith"	"Steven Smith"	"Smith, Steven"	"S. Smith"	"1969-03-31T00:00:00"	"Michigan State"	"US"	"Michigan State/US"	"6-8"	221	13	"8"	"Guard-Forward"	"Active"	1610612748	"Heat"	"MIA"	"heat"	"Miami"	"steve_smith"	1991	2004	"N"
"77"	0	121	"Patrick"	"Ewing"	"Patrick Ewing"	"Ewing, Patrick"	"P. Ewing"	"1962-08-05T00:00:00"	"Georgetown"	"Jamaica"	"Georgetown/Jamaica"	"7-0"	255	16	"6"	"Center"	"Active"	1610612753	"Magic"	"ORL"	"magic"	"Orlando"	"HISTADD_patrick_ewing"	1985	2001	"N"
"78"	0	122	"Fred"	"Roberts"	"Fred Roberts"	"Roberts, Fred"	"F. Roberts"	"1960-08-14T00:00:00"	"Brigham Young"	"US"	"Brigham Young/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_fred_roberts"	1983	1996	"N"
"79"	0	123	"Robert"	"Pack"	"Robert Pack"	"Pack, Robert"	"R. Pack"	"1969-02-03T00:00:00"	"USC"	"US"	"USC/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"robert_pack"	1991	2003	"N"
"80"	0	124	"Vlade"	"Divac"	"Vlade Divac"	"Divac, Vlade"	"V. Divac"	"1968-02-03T00:00:00"	"Serbia"	"Serbia and Montenegro"	"Serbia & Montenegro/Serbia and Montenegro"	"7-1"	260	15	"12"	"Center"	"Active"	1610612747	"Lakers"	"LAL"	"lakers"	"Los Angeles"	"vlade_divac"	1989	2004	"N"
"81"	0	128	"David"	"Benoit"	"David Benoit"	"Benoit, David"	"D. Benoit"	"1968-05-09T00:00:00"	"Alabama"	"US"	"Tyler JC TX; Alabama/US"	"6-8"	220	6	"21"	"Forward"	"Active"	1610612762	"Jazz"	"UTA"	"jazz"	"Utah"	"HISTADD_david_benoit"	1991	2000	"N"
"82"	0	129	"Dino"	"Radja"	"Dino Radja"	"Radja, Dino"	"D. Radja"	"1967-04-24T00:00:00"	"Croatia"	"US"	"Croatia/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_dino_radja"	1993	1996	"N"
"83"	0	132	"Dwayne"	"Morton"	"Dwayne Morton"	"Morton, Dwayne"	"D. Morton"	"1971-08-10T00:00:00"	"Louisville"	"US"	"Louisville/US"	"6-7"	195	0	"50"	"Guard"	"Active"	1610612744	"Warriors"	"GOS"	"warriors"	"Golden State"	"HISTADD_dwayne_morton"	1994	1994	"N"
"84"	0	133	"David"	"Wesley"	"David Wesley"	"Wesley, David"	"D. Wesley"	"1970-11-14T00:00:00"	"Baylor"	"US"	"Baylor/US"	"6-1"	203	13	"4"	"Guard"	"Active"	1610612739	"Cavaliers"	"CLE"	"cavaliers"	"Cleveland"	"david_wesley"	1993	2006	"N"
